Student,Course,Strand,Math/5,Science/5,English/5,IQ/5,EQ/5,Overall
Ana Beach,IT,ICT,3,4,3,4,4,18
James Brown,CS,ICT,2,3,4,3,2,14
MITQW,BSMT,STEM,3,2,3,4,3,15
SDASDG,BSPSY,HUMSS,4,3,2,4,2,15
ASDAGASD,IT,ICT,3,4,3,3,2,15
QWEQTQTQT,CE,STEM,2,4,3,2,2,13
QWEQWET,CS,ICT,3,3,3,3,3,15
ASDQWE,CE,STEM,4,3,4,3,4,18
QWERTU,BSMT,STEM,2,3,3,3,4,15
ASDWQ,BSPSY,HUMSS,4,2,3,4,3,16
RDSGHH,IT,ICT,3,2,4,4,2,15
TYURW,CS,ICT,1,3,2,3,2,11
MUSEP,CE,STEM,2,4,1,3,2,12
EPSUM,IT,ICT,1,3,1,1,3,9
LOREM,BSPSY,HUMSS,1,1,1,1,1,5
HJKLG,BSMT,STEM,2,2,2,2,2,10
YUIOP,IT,ICT,3,2,2,1,1,9
ZXCVB,CE,STEM,4,4,4,4,4,20
ASDFG,CS,ICT,2,2,3,3,4,14
QWERTY,CE,STEM,5,5,5,5,5,25
I am Rogienald,BSPSY,HUMSS,3,3,4,3,3,16
I am Rogienald,BSPSY,HUMSS,0,0,0,0,0,0
I am Rogienald,IT,HUMSS,2,2,1,2,2,9
I am Rogienald,CS,HUMSS,1,3,3,2,2,11
